    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
     219  -0.10097E+003   0.88372E+001  -0.48072E+001  -0.24695E+001  -0.83991E+000   0.24599E+001
     220  -0.10035E+003   0.99089E+001  -0.19952E+001  -0.24152E+001  -0.10019E+001   0.31177E+001
     221  -0.85919E+002   0.38343E+001  -0.59828E+000   0.12628E+001  -0.37604E-001  -0.27410E+001
     222  -0.85942E+002   0.38796E+001  -0.21069E+001   0.13104E+001   0.33168E+000  -0.21696E+001
     223  -0.85966E+002   0.39249E+001  -0.36155E+001   0.13580E+001  -0.25091E-010  -0.13552E-009
     224  -0.85942E+002   0.38796E+001  -0.21069E+001   0.13104E+001  -0.33168E+000   0.21696E+001
     225  -0.85919E+002   0.38343E+001  -0.59828E+000   0.12628E+001   0.37604E-001   0.27410E+001
     226  -0.93563E+002   0.29109E+001   0.43898E+001   0.65633E+000  -0.25788E+000  -0.15311E+001
     227  -0.98030E+002   0.19610E+001   0.62032E+001   0.58374E+000  -0.23418E+000  -0.11238E+001
     228  -0.10250E+003   0.10110E+001   0.80166E+001   0.51115E+000  -0.20764E-010  -0.93884E-011
     229  -0.98030E+002   0.19610E+001   0.62032E+001   0.58374E+000   0.23418E+000   0.11238E+001
     230  -0.93563E+002   0.29109E+001   0.43898E+001   0.65633E+000   0.25788E+000   0.15311E+001
     231  -0.97083E+002   0.47371E+001   0.36442E+001   0.22355E+001  -0.30628E+000  -0.15079E+001
     232  -0.10143E+003   0.40124E+001   0.55147E+001   0.21282E+001  -0.30395E+000  -0.10698E+001
     233  -0.10578E+003   0.32877E+001   0.73851E+001   0.20209E+001  -0.13533E-010  -0.42935E-010
     234  -0.10143E+003   0.40124E+001   0.55147E+001   0.21282E+001   0.30395E+000   0.10698E+001
     235  -0.97083E+002   0.47371E+001   0.36442E+001   0.22355E+001   0.30628E+000   0.15079E+001
     236  -0.10187E+003   0.79323E+001   0.25968E+001   0.38501E+001  -0.27502E+000  -0.17248E+001
     237  -0.10609E+003   0.73370E+001   0.45270E+001   0.36309E+001  -0.27756E+000  -0.11629E+001
     238  -0.11032E+003   0.67416E+001   0.64571E+001   0.34116E+001   0.21040E-010  -0.79697E-010
     239  -0.10609E+003   0.73370E+001   0.45270E+001   0.36309E+001   0.27756E+000   0.11629E+001
     240  -0.10187E+003   0.79323E+001   0.25968E+001   0.38501E+001   0.27502E+000   0.17248E+001
     241  -0.10353E+003   0.87354E+001   0.17492E+001   0.26917E+001  -0.16091E+000  -0.21683E+001
     242  -0.10759E+003   0.84457E+001   0.38505E+001   0.24575E+001  -0.14829E+000  -0.14571E+001
     243  -0.11165E+003   0.81561E+001   0.59518E+001   0.22234E+001   0.42928E-010  -0.65247E-010
     244  -0.10759E+003   0.84457E+001   0.38505E+001   0.24575E+001   0.14829E+000   0.14571E+001
     245  -0.10353E+003   0.87354E+001   0.17492E+001   0.26917E+001   0.16091E+000   0.21683E+001
     246  -0.10392E+003   0.81693E+001   0.12034E+001   0.15052E-009   0.15982E-010  -0.23717E+001
     247  -0.10782E+003   0.82814E+001   0.34733E+001   0.10236E-009   0.18192E-010  -0.16041E+001
     248  -0.11173E+003   0.83935E+001   0.57431E+001  -0.17124E-011   0.15255E-010  -0.10363E-009
     249  -0.10782E+003   0.82814E+001   0.34733E+001  -0.36478E-010  -0.13237E-010   0.16041E+001
     250  -0.10392E+003   0.81693E+001   0.12034E+001  -0.15335E-010  -0.36583E-010   0.23717E+001
     251  -0.10353E+003   0.87354E+001   0.17492E+001  -0.26917E+001   0.16091E+000  -0.21683E+001
     252  -0.10759E+003   0.84457E+001   0.38505E+001  -0.24575E+001   0.14829E+000  -0.14571E+001
